City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
298,mount pearl,47.5166,-52.7813,18.51,94,100,4.63,CA,1688821843
299,aksaray,38.3726,34.0254,29.16,27,3,6.11,TR,1688821843
300,as sulayyil,20.4607,45.5779,44.94,4,85,5.03,SA,1688821844
301,datong,40.0936,113.2914,24.18,35,33,4.69,CN,1688821845
302,carnarvon,-24.8667,113.6333,17.87,60,0,6.32,AU,1688821845
303,dubbo,-32.25,148.6167,7.07,87,6,3.09,AU,1688821845
304,ta`u,-14.2336,-169.5144,27.34,77,85,7.72,AS,1688821845
305,taoudenni,22.6783,-3.9836,47.36,6,0,3.92,ML,1688821846
306,kununurra,-15.7667,128.7333,22.99,56,28,2.57,AU,1688821846
307,ulladulla,-35.35,150.4667,12.67,54,2,7.08,AU,1688821846
308,mareeba,-17.0,145.4333,19.4,89,100,1.18,AU,1688821846
309,tocopilla,-22.092,-70.1979,17.88,62,19,3.16,CL,1688821847
310,bengkulu,-3.8004,102.2655,25.99,89,76,2.9,ID,1688821577
311,lautoka,-17.6167,177.4667,22.92,88,75,0.0,FJ,1688821847
312,emmett,43.8735,-116.4993,22.23,48,41,1.34,US,1688821847
313,colonia,50.9333,6.95,35.79,26,0,4.12,DE,1688821843
314,gandajika,-6.75,23.95,32.61,17,5,1.56,CD,1688821848
315,sinabang,2.4803,96.3801,26.71,79,100,1.43,ID,1688821848
316,kayyerkan,69.3786,87.7439,21.28,77,99,3.0,RU,1688821848
317,sarkand,45.41,79.9186,20.12,69,100,3.14,KZ,1688821849
318,bietigheim-bissingen,48.9667,9.1333,34.34,32,52,0.45,DE,1688821849
319,abalak,58.1286,68.5944,21.97,46,92,3.69,RU,1688821849
320,ust-nera,64.5667,143.2,15.1,86,100,1.97,RU,1688821849
321,oriximina,-1.7656,-55.8661,27.56,65,83,2.4,BR,1688821850
322,al bawiti,28.3492,28.8659,37.51,17,1,7.43,EG,1688821850
323,iquitos,-3.7481,-73.2472,25.02,94,75,1.03,PE,1688821850
324,bandarbeyla,9.4942,50.8122,31.82,44,7,12.36,SO,1688821850
325,nar'yan-mar,67.6713,53.087,9.7,75,100,4.13,RU,1688821851
326,leh,34.1667,77.5833,12.31,77,100,2.8,IN,1688821851
327,poletayevo,55.0336,61.1138,28.9,38,16,3.45,RU,1688821851
328,kendari,-3.945,122.4989,24.31,92,16,2.34,ID,1688821851
329,rio gallegos,-51.6226,-69.2181,-3.97,100,20,6.17,AR,1688821852
330,matoury,4.8483,-52.3317,26.98,83,75,1.03,GF,1688821852
331,tazacorte,28.629,-17.9293,25.54,89,75,4.12,ES,1688821852
332,alo,7.4178,6.7371,30.2,68,98,3.1,NG,1688821852
333,dinguiraye,11.3,-10.7167,32.82,47,25,0.82,GN,1688821853
334,el calafate,-50.3408,-72.2768,-5.88,66,1,0.95,AR,1688821853
335,hobyo,5.3505,48.5268,27.81,65,100,14.33,SO,1688821853
336,evinayong,1.4368,10.5512,25.6,72,60,1.33,GQ,1688821853
337,gabu,12.2833,-14.2167,32.27,56,79,1.65,GW,1688821854
338,altinyayla,39.2725,36.751,22.51,50,100,5.67,TR,1688821854
339,karratha,-20.7377,116.8463,18.91,24,5,4.18,AU,1688821854
340,taltal,-25.4,-70.4833,16.07,64,46,1.65,CL,1688821854
341,inhambane,-23.865,35.3833,25.99,61,0,6.17,MZ,1688821855
342,doma,8.3833,8.35,30.36,62,88,2.26,NG,1688821855
343,crane,31.3974,-102.3501,23.8,70,19,9.49,US,1688821855
344,port lincoln,-34.7333,135.8667,13.68,70,88,7.01,AU,1688821855
345,rosarito,32.3333,-117.0333,17.54,85,46,1.66,MX,1688821855
346,orlovskiy,46.8714,42.0592,25.01,59,100,5.07,RU,1688821856
347,mesquite,32.7668,-96.5992,27.51,82,0,4.12,US,1688821856
348,santo tomas,14.1079,121.1414,30.31,84,100,0.83,PH,1688821856
349,abong mbang,3.9833,13.1833,22.69,84,100,1.09,CM,1688821856
350,corinto,37.9407,22.9573,33.83,28,0,2.58,GR,1688821850
351,uglegorsk,49.0833,142.0333,15.25,96,8,3.19,RU,1688821857
352,hazorasp,41.3194,61.0742,37.91,11,2,5.48,UZ,1688821857
353,bonga,7.2833,36.2333,20.33,87,68,2.01,ET,1688821857
354,long beach,33.767,-118.1892,18.25,84,100,1.54,US,1688821858
355,afaahiti,-17.75,-149.2833,25.93,79,90,8.3,PF,1688821858
356,santyoku,37.4406,129.1708,21.2,97,100,0.77,KR,1688821573
357,baruun-urt,46.6806,113.2792,18.93,69,98,2.62,MN,1688821858
358,la cruz,23.9167,-106.9,26.6,81,4,1.06,MX,1688821858
359,swift current,50.2834,-107.8014,16.77,55,81,2.07,CA,1688821859
360,kavieng,-2.5744,150.7967,25.83,87,100,3.27,PG,1688821859
361,parkes,-33.1333,148.1833,5.84,84,6,3.2,AU,1688821859
362,newman,37.3138,-121.0208,14.45,83,0,2.11,US,1688821860
363,inarajan village,13.2736,144.7484,27.54,91,100,5.6,GU,1688821860
